vsd_tax,Bran_1,Bran_2,Bran_3,PS_1,PS_2,PS_3,CO_1,CO_2,CO_3
d__Bacteria;p__;c__;o__;f__;g__,1.78139600732681,2.76921575839982,2.93364046833387,3.2332165554324,2.82398500107632,3.73919870656781,3.85874604680571,1.85340655509734,1.6706957217652
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__;f__;g__,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,0.72461856466851,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Actinomycetales;f__Actinomycetaceae;g__Trueperella,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-0.47310806963576,-1.88720217133198
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Corynebacteriales;f__;g__,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,1.49920168353307,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Corynebacteriales;f__Corynebacteriaceae;g__,-0.0738344395022788,-1.88720217133198,-1.88720217133198,-1.88720217133198,1.49920168353307,0.0758742762437255,-1.88720217133198,-1.88720217133198,0.46070931864668
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium_1,2.67028482409553,0.812739652949929,1.19283133327096,-1.88720217133198,5.83755645717482,4.77299046475637,3.85874604680571,-1.88720217133198,2.5509346274979
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__;g__,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,1.03303003523214,0.732952982755141,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Brevibacteriaceae;g__,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,0.72461856466851,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,3.80966367592273,3.21301601641728,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,0.325413845249096,-1.88720217133198,-1.88720217133198,-1.88720217133198,0.46070931864668
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Dermabacteraceae;g__Brachybacterium,-1.88720217133198,-1.88720217133198,1.19283133327096,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Microbacteriaceae;g__,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,1.84924510420207,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Microbacteriaceae;g__Curtobacterium,-1.88720217133198,0.812739652949929,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Microbacteriaceae;g__Leucobacter,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,0.325413845249096,0.0758742762437255,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,2.56635550901145,0.732952982755141,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__,-0.0738344395022788,-1.88720217133198,-1.88720217133198,-1.88720217133198,2.65745929701603,3.21301601641728,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter,-0.0738344395022788,-1.88720217133198,-1.88720217133198,-1.88720217133198,1.28533683882381,1.50876916717614,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Glutamicibacter,-1.88720217133198,-1.88720217133198,-1.88720217133198,1.79765705908598,2.36473431373178,1.50876916717614,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Kocuria,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-0.253446343343854,-1.88720217133198,3.1563489037327,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Micrococcus,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-0.253446343343854,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198
