Taxonomy,Bran_1,Bran_2,Bran_3,PS_1,PS_2,PS_3,CO_1,CO_2,CO_3
d__Bacteria;p__;c__;o__;f__;g__,6,5,4,3,17,22,5,11,3
d__Bacteria;p__Actinobacteria;c__;o__;f__;g__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__;f__;g__,0,0,0,0,3,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Actinomycetales;f__Actinomycetaceae;g__Trueperella,0,0,0,0,0,0,0,1,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Corynebacteriales;f__;g__,0,0,0,0,6,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Corynebacteriales;f__Corynebacteriaceae;g__,1,0,0,0,6,1,0,0,1
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium_1,12,1,1,0,147,46,5,0,6
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Corynebacteriales;f__Nocardiaceae;g__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Corynebacteriales;f__Nocardiaceae;g__Gordonia,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Corynebacteriales;f__Nocardiaceae;g__Nocardia,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Corynebacteriales;f__Nocardiaceae;g__Williamsia,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Corynebacteriales;f__Segniliparaceae;g__uncultured_graftm_184,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Frankiales;f__Frankiaceae;g__Jatrophihabitans,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Frankiales;f__Geodermatophilaceae;g__Antricoccus,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Kineosporiales;f__Kineosporiaceae;g__Kineococcus,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__;g__,0,0,0,0,4,2,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Brevibacteriaceae;g__,0,0,0,0,3,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium,0,0,0,0,35,15,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas,0,0,0,0,2,0,0,0,1
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Dermabacteraceae;g__Brachybacterium,0,0,1,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Intrasporangiaceae;g__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Intrasporangiaceae;g__Ornithinimicrobium,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Microbacteriaceae;g__,0,0,0,0,8,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Microbacteriaceae;g__Agromyces,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Microbacteriaceae;g__Curtobacterium,0,1,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Microbacteriaceae;g__Leucobacter,0,0,0,0,2,1,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium,0,0,0,0,14,2,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__,1,0,0,0,15,15,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter,1,0,0,0,5,4,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Enteractinococcus,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Glutamicibacter,0,0,0,1,12,4,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Kocuria,0,0,0,0,1,0,3,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Micrococcus,0,0,0,0,1,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Neomicrococcus,1,0,0,0,9,3,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Nesterenkonia,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Paenarthrobacter,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Paeniglutamicibacter,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Pseudarthrobacter,0,0,0,0,1,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Rothia,0,0,0,0,3,1,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__uncultured_graftm_322,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Promicromonosporaceae;g__Cellulosimicrobium,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Promicromonosporaceae;g__Isoptericola,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Sanguibacteraceae;g__Sanguibacter,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Propionibacteriales;f__Nocardioidaceae;g__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Propionibacteriales;f__Nocardioidaceae;g__Aeromicrobium,0,0,0,0,4,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Propionibacteriales;f__Nocardioidaceae;g__Mumia,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides,0,0,0,0,1,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Propionibacteriales;f__Propionibacteriaceae;g__Luteococcus,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Actinophytocola,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Crossiella,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Saccharopolyspora,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Streptomycetales;f__Streptomycetaceae;g__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__;f__;g__,1,0,0,0,1,0,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__;g__,1,2,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Blattabacteriaceae;g__Candidatus_Sulcia,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__,4,1,2,0,0,0,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Joostella,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS4_marine_group,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__,7,1,1,0,1,0,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Apibacter,181,103,72,0,26,11,1,0,2
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Bergeyella,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium,7,0,0,0,14,0,0,0,4
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Cloacibacterium,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Moheibacter,5,2,1,0,0,0,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Riemerella,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__uncultured_graftm_139,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Weeksella,0,0,1,0,0,0,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__,1,0,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pseudopedobacter,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Solitalea,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium,1,0,0,0,46,6,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__uncultured_graftm_75,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__;o__;f__;g__,14,2,2,5,13,9,1,3,2
d__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__,3,1,3,2,9,15,1,0,3
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__;g__,0,0,0,0,0,0,0,3,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__,0,0,0,0,4,1,0,1,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,0,0,1,1,4,6,0,9,1
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Family_XI_graftm_1;g__Gemella,0,0,0,0,1,0,0,1,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria,0,0,0,0,0,0,2,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus,0,1,0,0,0,0,0,2,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__,1,0,0,0,0,0,0,0,0
