Taxonomy,Bran_1,Bran_2,Bran_3,PS_1,PS_2,PS_3,CO_1,CO_2,CO_3
d__Bacteria;p__;c__;o__;f__;g__;s__,6,5,4,3,17,22,5,11,3
d__Bacteria;p__Actinobacteria;c__;o__;f__;g__;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__;f__;g__;s__,0,0,0,0,3,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Actinomycetales;f__Actinomycetaceae;g__Trueperella;s__,0,0,0,0,0,0,0,1,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__uncultured_bacterium_graftm_2174,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Corynebacteriales;f__;g__;s__,0,0,0,0,6,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Corynebacteriales;f__Corynebacteriaceae;g__;s__,1,0,0,0,6,1,0,0,1
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__uncultured_bacterium_graftm_483,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium_1;s__,8,0,1,0,127,36,1,0,1
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium_1;s__Corynebacterium_flavescens,0,0,0,0,0,0,0,0,0
