#KO	Bran_1	Bran_2	PS_2	PS_3	CO_2	CO_3	Faeces_BR	Faeces_PS
K00003	0	0	1	0	1	0	0	3
K00004	0	0	1	0	0	0	0	1
K00005	0	2	1	2	3	1	3	1
K00007	1	0	0	0	2	1	0	0
K00009	3	2	4	0	3	2	4	1
K00010	0	1	0	0	3	2	0	0
K00012	2	2	1	0	0	0	0	2
K00013	1	4	1	1	1	2	1	0
K00014	0	2	1	3	8	1	5	3
K00015	0	0	0	0	0	0	0	1
K00016	0	0	5	4	0	1	4	1
K00018	1	0	1	0	1	1	0	0
K00019	2	0	0	0	1	0	0	1
K00020	2	0	1	1	2	0	0	1
K00027	0	0	0	0	0	1	0	1
K00029	2	2	1	0	1	0	0	0
K00031	2	2	1	2	3	1	0	0
K00033	2	3	4	7	4	1	5	1
K00034	0	0	0	0	0	0	1	0
K00036	3	2	2	2	1	2	3	2
K00038	0	0	0	0	0	0	0	1
K00039	1	0	0	0	2	0	2	0
K00040	1	2	0	1	2	2	0	1
K00041	1	0	0	0	2	2	3	1
K00042	1	2	0	1	3	1	2	0
K00045	0	0	1	0	0	0	0	0
K00046	0	0	2	3	3	0	2	0
K00048	1	0	1	1	1	0	1	0
K00050	1	0	0	0	0	1	0	0
K00052	3	2	0	1	1	1	1	1
K00053	4	1	1	4	0	3	3	1
K00054	1	0	3	3	0	0	1	0
K00057	3	2	2	2	2	1	0	2
K00058	3	3	1	1	2	2	1	1
K00059	8	6	2	2	5	5	6	5
K00060	0	2	1	0	0	1	1	1
K00065	1	4	0	0	5	1	2	1
K00067	0	1	2	1	0	0	1	0
K00068	1	0	2	0	1	2	1	0
K00073	0	0	0	0	2	1	0	0
K00074	1	0	0	0	0	1	0	0
K00075	2	1	1	5	5	2	5	4
K00077	2	2	1	0	2	3	0	1
K00078	0	0	1	0	0	0	0	0
K00086	0	0	1	1	1	0	0	0
K00087	0	0	0	0	1	0	0	0
K00088	3	3	6	2	3	3	4	1
K00090	1	2	1	0	1	2	3	0
K00091	0	0	0	0	0	0	0	1
K00097	1	2	0	0	0	0	2	0
K00099	3	0	1	0	0	1	1	0
K00100	0	0	1	2	1	0	1	0
K00101	2	0	1	0	1	2	0	1
K00104	0	0	0	0	0	0	0	1
K00105	0	0	1	2	1	2	0	0
K00108	2	1	0	0	1	1	0	2
K00111	7	4	2	2	2	2	5	1
K00112	1	0	0	0	1	1	0	0
K00113	0	1	0	0	0	1	1	0
K00116	3	3	1	0	3	4	2	5
K00117	2	1	0	0	2	1	1	0
K00121	2	1	0	0	2	1	1	0
K00123	0	1	0	1	1	0	0	0
K00124	1	2	1	0	1	1	1	1
K00127	1	1	0	0	0	1	3	1
K00128	0	0	0	0	0	0	0	1
K00130	1	0	0	0	0	2	0	0
K00131	1	0	0	0	0	0	0	1
K00132	1	0	0	0	4	1	0	1
K00133	6	3	1	0	5	2	1	4
K00134	6	3	3	5	6	2	3	2
K00135	2	5	1	1	2	2	2	1
K00137	0	1	0	0	0	0	1	0
K00138	1	2	0	0	1	1	0	4
K00140	1	2	0	0	1	3	0	2
K00145	2	2	1	2	0	2	1	2
K00146	0	1	0	0	2	0	0	1
K00147	0	2	2	3	2	0	0	3
K00151	0	1	0	0	0	1	1	0
K00153	0	0	0	0	0	0	0	1
K00154	0	0	0	0	0	0	0	1
K00156	1	1	0	0	1	1	3	1
K00158	0	0	1	1	1	0	1	1
K00161	0	0	0	0	0	0	0	4
K00162	1	0	0	0	0	0	0	2
K00163	3	0	2	1	1	3	1	5
K00164	1	1	0	0	0	0	2	1
K00167	0	0	0	0	0	0	0	1
K00196	0	0	0	0	0	0	2	0
K00208	1	2	1	0	1	2	2	3
K00209	0	0	0	0	0	0	0	1
K00215	1	1	1	2	3	1	1	2
K00216	1	2	0	0	2	2	1	0
K00217	0	0	0	0	0	0	0	1
K00219	1	2	1	0	2	2	0	0
K00226	0	0	0	1	2	1	1	1
K00228	0	2	0	0	2	2	2	0
K00230	2	3	0	0	0	1	1	0
K00231	0	0	1	0	0	0	0	0
K00239	2	3	0	0	2	0	1	2
K00240	1	1	2	0	1	2	0	1
K00241	1	1	0	0	1	1	1	2
K00242	1	2	0	0	1	1	2	0
K00243	1	0	1	2	1	0	1	1
K00244	0	1	0	1	0	2	0	1
K00245	1	2	0	0	2	1	0	0
K00246	2	1	1	0	0	1	2	0
K00247	1	1	1	0	0	1	0	0
K00249	1	0	1	0	0	0	0	4
K00252	0	1	0	0	0	0	0	2
K00254	1	1	0	0	0	1	4	2
K00259	0	0	4	4	2	1	1	0
K00261	0	1	0	0	1	0	0	0
K00262	2	1	0	1	3	3	1	0
K00265	0	1	1	0	1	0	1	5
K00266	3	3	1	2	6	2	6	1
K00273	0	0	1	0	0	0	0	1
K00275	2	1	1	0	0	1	2	1
K00276	0	1	0	0	1	0	1	0
K00278	1	2	0	1	2	1	0	1
K00281	4	2	0	0	1	2	1	1
K00285	3	1	0	0	1	2	2	3
K00286	0	2	3	3	3	2	3	5
K00287	2	2	2	3	3	2	2	3
K00297	1	2	2	1	1	0	1	0
K00298	0	0	1	0	0	0	1	0
K00299	1	1	1	0	2	0	0	1
K00302	0	0	0	0	1	1	0	1
K00303	1	0	0	0	1	1	0	1
K00304	0	0	0	0	0	1	0	3
K00305	1	0	0	0	0	1	0	0
K00316	0	1	0	0	0	0	0	0
K00318	0	0	0	0	0	0	0	1
K00322	1	2	0	0	0	0	1	0
K00324	0	2	1	0	2	2	0	0
K00325	1	0	0	0	0	0	1	1
K00330	1	2	0	0	0	0	1	1
K00331	2	1	0	0	1	0	2	0
K00332	0	0	0	0	0	0	0	1
K00334	0	2	0	0	0	2	0	0
K00335	2	1	1	0	0	2	0	3
K00336	1	2	0	0	2	1	0	2
K00337	0	2	0	0	0	0	0	1
K00338	2	3	0	0	0	1	2	0
K00339	1	2	0	0	0	2	1	0
K00340	2	2	0	0	0	1	1	1
K00341	2	1	1	0	1	1	2	2
K00342	1	2	0	0	0	0	1	0
K00343	3	2	0	0	0	0	1	0
K00344	2	3	5	1	5	1	1	2
K00346	1	1	0	0	1	0	2	0
K00347	0	1	0	0	1	2	0	0
K00348	1	1	0	0	2	1	1	0
K00349	2	1	0	0	0	2	1	0
K00350	2	1	0	0	2	1	0	1
K00351	1	2	0	0	0	1	0	1
K00355	0	0	0	0	1	3	1	0
K00360	0	0	0	0	0	0	0	1
K00362	3	3	2	1	3	2	1	1
K00363	2	2	0	0	0	0	2	0
K00364	3	2	0	1	1	0	0	3
K00370	7	2	0	0	1	5	3	2
K00371	5	4	0	0	1	2	3	1
K00372	2	0	0	0	0	1	0	0
K00373	0	0	1	0	0	0	0	0
K00374	4	6	1	0	3	2	1	1
K00375	1	4	0	0	3	4	2	2
K00380	1	0	0	0	2	1	1	1
K00381	1	3	0	1	1	2	0	1
K00382	2	1	3	2	1	1	3	4
K00383	2	1	2	1	3	2	0	2
K00384	1	2	2	2	0	1	0	3
K00385	0	0	0	1	0	0	0	0
K00389	1	2	2	0	1	2	2	1
K00390	1	2	0	0	1	2	1	3
K00392	0	0	1	0	0	0	0	0
K00404	0	0	0	0	0	0	0	1
K00405	0	0	0	0	0	0	0	3
K00406	0	0	0	0	0	0	0	1
K00412	0	0	0	0	0	0	0	1
K00424	2	2	0	0	1	1	1	0
K00425	5	5	1	1	3	1	4	3
K00426	5	5	3	1	3	3	6	6
K00427	1	2	0	0	2	1	1	0
K00428	0	0	0	0	0	1	1	1
K00432	3	2	3	2	1	2	4	4
K00433	4	1	1	0	2	2	0	2
K00446	0	0	0	0	0	0	0	3
K00448	0	0	0	0	1	1	1	1
K00449	2	0	0	0	0	1	0	0
K00451	0	0	0	0	0	0	0	2
K00453	0	0	0	0	0	0	0	1
K00455	1	0	0	0	0	1	0	0
K00457	0	0	0	0	1	1	1	0
K00459	2	2	1	1	3	1	0	1
K00467	0	0	1	0	0	0	0	1
K00468	0	0	0	0	0	0	0	1
K00479	0	0	0	0	0	0	1	1
K00480	1	0	0	0	0	0	0	0
K00481	1	0	0	0	2	0	0	2
K00483	0	1	0	0	0	0	1	0
